name,year,coal,gas,oil,tradition,nuclear,clean,per
WV,2007,"3,855.30",262.6,11.6,4129.5,0,"4,155.40",50.16
WV,2008,"3,870.30",277,12.3,4159.6,0,"4,188.90",50.18
WV,2009,"3,379.40",300.9,8.7,3689,0,"3,734.00",50.30
WV,2010,"3,346.10",300.9,10.7,3657.7,0,"3,699.70",50.29
WV,2011,"3,321.10",442.4,12.4,3775.9,0,"3,820.20",50.29
WV,2012,"3,059.10",602.3,14.9,3676.3,0,"3,720.20",50.30
WV,2013,"2,874.70",832.4,40.2,3747.3,0,"3,801.00",50.36
WV,2014,"2,858.00","1,248.90",44,4150.9,0,"4,200.80",50.30
WV,2015,"2,447.20","1,572.10",45.6,4064.9,0,"4,109.80",50.27
WI,2006,0,0,0,0,127.7,272.3,68.08
WI,2007,0,0,0,0,135.4,283.9,67.71
WI,2008,0,0,0,0,127,303.5,70.50
WI,2009,0,0,0,0,132.7,303.4,69.57
WI,2010,0,0,0,0,138.8,329.3,70.35
WI,2011,0,0,0,0,121,312.3,72.07
WI,2012,0,0,0,0,149.8,333.4,69.00
WI,2013,0,0,0,0,122,310,71.76
WI,2014,0,0,0,0,98.8,298.3,75.12
WI,2015,0,0,0,0,104.7,293.3,73.69
WY,2006,"7,740.00","1,995.70",307.2,10042.9,0,"10,062.30",50.05
WY,2007,"7,847.60","2,237.00",313.9,10398.5,0,"10,416.80",50.04
WY,2008,"8,087.40","2,469.40",307.7,10864.5,0,"10,886.20",50.05
WY,2009,"7,459.90","2,544.10",298.9,10302.9,0,"10,336.90",50.08
WY,2010,"7,658.30","2,521.30",312.6,10492.2,0,"10,536.60",50.11
WY,2011,"7,591.70","2,384.40",317.1,10293.2,0,"10,353.20",50.15
WY,2012,"6,973.70","2,249.30",336.2,9559.2,0,"9,612.60",50.14
WY,2013,"6,760.40","2,055.30",367.3,9183,0,"9,235.90",50.14
WY,2014,"6,880.20","1,986.20",441.6,9308,0,"9,362.00",50.14
WY,2015,"6,538.20","1,985.30",494.5,9018,0,"9,064.10",50.13
